Date,Open,High,Low,Close
Dec-19,"3,143.85","3,247.93","3,070.33","3,230.78"
Nov-19,"3,050.72","3,154.26","3,050.72","3,140.98"
Oct-19,"2,983.69","3,050.10","2,855.94","3,037.56"
Sep-19,"2,909.01","3,021.99","2,891.85","2,976.74"
Aug-19,"2,980.32","3,013.59","2,822.12","2,926.46"
Jul-19,"2,971.41","3,027.98","2,952.22","2,980.38"
Jun-19,"2,751.53","2,964.15","2,728.81","2,941.76"
May-19,"2,952.33","2,954.13","2,750.52","2,752.06"
Apr-19,"2,848.63","2,949.52","2,848.63","2,945.83"
Mar-19,"2,798.22","2,860.31","2,722.27","2,834.40"
Feb-19,"2,702.32","2,813.49","2,681.83","2,784.49"
Jan-19,"2,476.96","2,708.95","2,443.96","2,704.10"
