Date,Open,High,Low,Close
Dec-13,"1,806.55","1,849.44","1,767.99","1,848.36"
Nov-13,"1,758.70","1,813.55","1,746.20","1,805.81"
Oct-13,"1,682.41","1,775.22","1,646.47","1,756.54"
Sep-13,"1,635.95","1,729.86","1,633.41","1,681.55"
Aug-13,"1,689.42","1,709.67","1,627.47","1,632.97"
Jul-13,"1,609.78","1,698.78","1,604.57","1,685.73"
Jun-13,"1,631.71","1,654.19","1,560.33","1,606.28"
May-13,"1,597.55","1,687.18","1,581.28","1,630.74"
Apr-13,"1,569.18","1,597.57","1,536.03","1,597.57"
Mar-13,"1,514.68","1,570.28","1,501.48","1,569.19"
Feb-13,"1,498.11","1,530.94","1,485.01","1,514.68"
Jan-13,"1,426.19","1,509.94","1,426.19","1,498.11"
