Date,Open,High,Low,Close
Dec-14,"2,065.78","2,093.55","1,972.56","2,058.90"
Nov-14,"2,018.21","2,075.76","2,001.01","2,067.56"
Oct-14,"1,971.44","2,018.19","1,820.66","2,018.05"
Sep-14,"2,004.07","2,019.26","1,964.04","1,972.29"
Aug-14,"1,929.80","2,005.04","1,904.78","2,003.37"
Jul-14,"1,962.29","1,991.39","1,930.67","1,930.67"
Jun-14,"1,923.87","1,968.17","1,915.98","1,960.23"
May-14,"1,884.39","1,924.03","1,859.79","1,923.57"
Apr-14,"1,873.96","1,897.28","1,814.36","1,883.95"
Mar-14,"1,857.68","1,883.97","1,834.44","1,872.34"
Feb-14,"1,782.68","1,867.92","1,737.92","1,859.45"
Jan-14,"1,845.86","1,850.84","1,770.45","1,782.59"
