Date,Open,High,Low,Close
Dec-16,"2,200.17","2,277.53","2,187.44","2,238.83"
Nov-16,"2,128.68","2,214.10","2,083.79","2,198.81"
Oct-16,"2,164.33","2,169.60","2,114.74","2,126.15"
Sep-16,"2,171.33","2,187.87","2,119.12","2,168.27"
Aug-16,"2,173.15","2,193.81","2,147.58","2,170.95"
Jul-16,"2,099.34","2,177.09","2,074.02","2,173.60"
Jun-16,"2,093.94","2,120.55","1,991.68","2,098.86"
May-16,"2,067.17","2,103.48","2,025.91","2,096.96"
Apr-16,"2,056.62","2,111.05","2,033.80","2,065.30"
Mar-16,"1,937.09","2,072.21","1,937.09","2,059.74"
Feb-16,"1,936.94","1,962.96","1,810.10","1,932.23"
Jan-16,"2,038.20","2,038.20","1,812.29","1,940.24"
