Date,Open,High,Low,Close
Dec-12,"1,416.34","1,448.00","1,398.11","1,426.19"
Nov-12,"1,410.99","1,434.27","1,343.35","1,416.18"
Oct-12,"1,440.90","1,470.96","1,403.28","1,412.16"
Sep-12,"1,406.54","1,474.51","1,396.56","1,440.67"
Aug-12,"1,379.32","1,426.68","1,354.65","1,406.58"
Jul-12,"1,362.33","1,391.74","1,325.41","1,379.32"
Jun-12,"1,309.87","1,363.46","1,266.74","1,362.16"
May-12,"1,397.86","1,415.32","1,291.98","1,310.33"
Apr-12,"1,408.47","1,422.38","1,357.38","1,397.91"
Mar-12,"1,365.90","1,419.15","1,340.03","1,408.47"
Feb-12,"1,312.45","1,378.04","1,312.45","1,365.68"
Jan-12,"1,258.86","1,333.47","1,258.86","1,312.41"
