Date,Open,High,Low,Close
Dec-15,"2,082.93","2,104.27","1,993.26","2,043.94"
Nov-15,"2,080.76","2,116.48","2,019.39","2,080.41"
Oct-15,"1,919.65","2,094.32","1,893.70","2,079.36"
Sep-15,"1,970.09","2,020.86","1,871.91","1,920.03"
Aug-15,"2,104.49","2,112.66","1,867.01","1,972.18"
Jul-15,"2,067.00","2,132.82","2,044.02","2,103.84"
Jun-15,"2,108.64","2,129.87","2,056.32","2,063.11"
May-15,"2,087.38","2,134.72","2,067.93","2,107.39"
Apr-15,"2,067.63","2,125.92","2,048.38","2,085.51"
Mar-15,"2,105.23","2,117.52","2,039.69","2,067.89"
Feb-15,"1,996.67","2,119.59","1,980.90","2,104.50"
Jan-15,"2,058.90","2,072.36","1,988.12","1,994.99"
