Date,Open,High,Low,Close
Dec-18,"2,790.50","2,800.18","2,346.58","2,506.85"
Nov-18,"2,717.58","2,815.15","2,631.09","2,760.17"
Oct-18,"2,926.29","2,939.86","2,603.54","2,711.74"
Sep-18,"2,896.96","2,940.91","2,864.12","2,913.98"
Aug-18,"2,821.17","2,916.50","2,796.34","2,901.52"
Jul-18,"2,704.95","2,848.03","2,698.95","2,816.29"
Jun-18,"2,718.70","2,791.47","2,691.99","2,718.37"
May-18,"2,643.64","2,742.24","2,594.62","2,705.27"
Apr-18,"2,633.45","2,717.49","2,553.80","2,648.05"
Mar-18,"2,715.22","2,801.90","2,585.89","2,640.87"
Feb-18,"2,816.45","2,835.96","2,532.69","2,713.83"
Jan-18,"2,683.73","2,872.87","2,682.36","2,823.81"
