Country,Category,DateTime,Value,Frequency,HistoricalDataSymbol,LastUpdate
United States,Money Supply M0,1959-01-31T00:00:00,50500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1959-02-28T00:00:00,49800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1959-03-31T00:00:00,49700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1959-04-30T00:00:00,50100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1959-05-31T00:00:00,50100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1959-06-30T00:00:00,50300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1959-07-31T00:00:00,50800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1959-08-31T00:00:00,50700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1959-09-30T00:00:00,50700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1959-10-31T00:00:00,50700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1959-11-30T00:00:00,50900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1959-12-31T00:00:00,51500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-01-31T00:00:00,50700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-02-29T00:00:00,49600,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-03-31T00:00:00,49500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-04-30T00:00:00,49700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-05-31T00:00:00,49700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-06-30T00:00:00,50000,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-07-31T00:00:00,50500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-08-31T00:00:00,50300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-09-30T00:00:00,49900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-10-31T00:00:00,50100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-11-30T00:00:00,50300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1960-12-31T00:00:00,49800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-01-31T00:00:00,49100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-02-28T00:00:00,48400,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-03-31T00:00:00,48400,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-04-30T00:00:00,48500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-05-31T00:00:00,48500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-06-30T00:00:00,48900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-07-31T00:00:00,49200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-08-31T00:00:00,49300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-09-30T00:00:00,49600,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-10-31T00:00:00,50000,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-11-30T00:00:00,50500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1961-12-31T00:00:00,51300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-01-31T00:00:00,50600,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-02-28T00:00:00,49800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-03-31T00:00:00,50000,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-04-30T00:00:00,50400,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-05-31T00:00:00,50500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-06-30T00:00:00,50900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-07-31T00:00:00,51300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-08-31T00:00:00,51200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-09-30T00:00:00,51300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-10-31T00:00:00,51600,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-11-30T00:00:00,51300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1962-12-31T00:00:00,52300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1963-01-31T00:00:00,51600,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1963-02-28T00:00:00,51000,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1963-03-31T00:00:00,51200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1963-04-30T00:00:00,51500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1963-05-31T00:00:00,51700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1963-06-30T00:00:00,52200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1963-07-31T00:00:00,52800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1963-08-31T00:00:00,52600,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1963-09-30T00:00:00,52900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1963-10-31T00:00:00,53100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1963-11-30T00:00:00,53800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1963-12-31T00:00:00,54900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-01-31T00:00:00,54200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-02-29T00:00:00,53500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-03-31T00:00:00,53800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-04-30T00:00:00,54100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-05-31T00:00:00,54300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-06-30T00:00:00,54900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-07-31T00:00:00,55400,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-08-31T00:00:00,55400,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-09-30T00:00:00,55900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-10-31T00:00:00,56200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-11-30T00:00:00,56800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1964-12-31T00:00:00,57700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-01-31T00:00:00,57100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-02-28T00:00:00,56500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-03-31T00:00:00,56700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-04-30T00:00:00,57100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-05-31T00:00:00,57200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-06-30T00:00:00,57800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-07-31T00:00:00,58400,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-08-31T00:00:00,58200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-09-30T00:00:00,58600,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-10-31T00:00:00,59100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-11-30T00:00:00,59600,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1965-12-31T00:00:00,61000,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-01-31T00:00:00,60500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-02-28T00:00:00,59800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-03-31T00:00:00,59900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-04-30T00:00:00,60500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-05-31T00:00:00,60600,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-06-30T00:00:00,61100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-07-31T00:00:00,62100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-08-31T00:00:00,61700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-09-30T00:00:00,62400,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-10-31T00:00:00,62600,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-11-30T00:00:00,63000,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1966-12-31T00:00:00,64200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-01-31T00:00:00,63800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-02-28T00:00:00,63300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-03-31T00:00:00,63200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-04-30T00:00:00,63300,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-05-31T00:00:00,63400,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-06-30T00:00:00,64000,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-07-31T00:00:00,64800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-08-31T00:00:00,64700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-09-30T00:00:00,65200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-10-31T00:00:00,65900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-11-30T00:00:00,66500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1967-12-31T00:00:00,67800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1968-01-31T00:00:00,67700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1968-02-29T00:00:00,67200,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1968-03-31T00:00:00,67500,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1968-04-30T00:00:00,68000,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1968-05-31T00:00:00,68100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1968-06-30T00:00:00,68900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1968-07-31T00:00:00,69700,Monthly,UNITEDSTAMONSUPM0,2015-04-25T21:12:00
United States,Money Supply M0,1968-08-31T00:00:00,69900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1968-09-30T00:00:00,70000,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1968-10-31T00:00:00,70800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1968-11-30T00:00:00,71700,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1968-12-31T00:00:00,73100,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1969-01-31T00:00:00,72900,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1969-02-28T00:00:00,72000,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1969-03-31T00:00:00,71800,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
United States,Money Supply M0,1969-04-30T00:00:00,72400,Monthly,UNITEDSTAMONSUPM0,2021-07-27T08:13:00
