Category,DateTime,Value,Value Difference
Money Supply M2,2017-01-31,13275.4,
Money Supply M2,2017-02-28,13341.1,65.70000000000073
Money Supply M2,2017-03-31,13411.4,70.29999999999927
Money Supply M2,2017-04-30,13476.8,65.39999999999964
Money Supply M2,2017-05-31,13530.5,53.70000000000073
Money Supply M2,2017-06-30,13558.2,27.700000000000728
Money Supply M2,2017-07-31,13618.3,60.099999999998545
Money Supply M2,2017-08-31,13673.8,55.5
Money Supply M2,2017-09-30,13716.4,42.600000000000364
Money Supply M2,2017-10-31,13769.0,52.600000000000364
Money Supply M2,2017-11-30,13794.0,25.0
Money Supply M2,2017-12-31,13835.7,41.70000000000073
Money Supply M2,2018-01-31,13858.4,22.69999999999891
Money Supply M2,2018-02-28,13892.8,34.399999999999636
Money Supply M2,2018-03-31,13952.6,59.80000000000109
Money Supply M2,2018-04-30,13989.1,36.5
Money Supply M2,2018-05-31,14054.9,65.79999999999927
Money Supply M2,2018-06-30,14120.0,65.10000000000036
Money Supply M2,2018-07-31,14153.0,33.0
Money Supply M2,2018-08-31,14197.0,44.0
Money Supply M2,2018-09-30,14228.5,31.5
Money Supply M2,2018-10-31,14235.4,6.899999999999636
Money Supply M2,2018-11-30,14245.4,10.0
Money Supply M2,2018-12-31,14351.8,106.39999999999964
Money Supply M2,2019-01-31,14434.6,82.80000000000109
Money Supply M2,2019-02-28,14464.4,29.799999999999272
Money Supply M2,2019-03-31,14511.8,47.399999999999636
Money Supply M2,2019-04-30,14558.3,46.5
Money Supply M2,2019-05-31,14653.2,94.90000000000146
Money Supply M2,2019-06-30,14780.7,127.5
Money Supply M2,2019-07-31,14859.9,79.19999999999891
Money Supply M2,2019-08-31,14931.2,71.30000000000109
Money Supply M2,2019-09-30,15020.8,89.59999999999854
Money Supply M2,2019-10-31,15153.1,132.3000000000011
Money Supply M2,2019-11-30,15251.3,98.19999999999891
Money Supply M2,2019-12-31,15325.8,74.5
Money Supply M2,2020-01-31,15406.8,81.0
Money Supply M2,2020-02-29,15470.4,63.600000000000364
Money Supply M2,2020-03-31,16011.4,541.0
Money Supply M2,2020-04-30,17039.1,1027.699999999999
Money Supply M2,2020-05-31,17889.2,850.1000000000022
Money Supply M2,2020-06-30,18175.7,286.5
Money Supply M2,2020-07-31,18316.6,140.89999999999782
Money Supply M2,2020-08-31,18378.5,61.900000000001455
Money Supply M2,2020-09-30,18601.6,223.09999999999854
Money Supply M2,2020-10-31,18747.9,146.3000000000029
Money Supply M2,2020-11-30,18958.7,210.79999999999927
Money Supply M2,2020-12-31,19129.5,170.79999999999927
Money Supply M2,2021-01-31,19393.1,263.59999999999854
Money Supply M2,2021-02-28,19665.4,272.3000000000029
Money Supply M2,2021-03-31,19913.5,248.09999999999854
Money Supply M2,2021-04-30,20122.7,209.20000000000073
Money Supply M2,2021-05-31,20372.4,249.70000000000073
Money Supply M2,2021-06-30,20387.4,15.0
Money Supply M2,2021-07-31,20534.3,146.89999999999782
Money Supply M2,2021-08-31,20797.0,262.7000000000007
Money Supply M2,2021-09-30,20982.9,185.90000000000146
Money Supply M2,2021-10-31,21187.1,204.1999999999971
Money Supply M2,2021-11-30,21436.7,249.60000000000218
