+----------------------+------+--------+-------+--------------+
|      series id       | year | period | value |  footnotes   |
| LAUCN131210000000003 | 2013 |  M09   |  7.7  |              |
| LAUCN131210000000003 | 2013 |  M08   |  8.1  |              |
| LAUCN131210000000003 | 2013 |  M07   |  8.3  |              |
| LAUCN131210000000003 | 2013 |  M06   |  8.6  |              |
| LAUCN131210000000003 | 2013 |  M05   |  8.1  |              |
| LAUCN131210000000003 | 2013 |  M04   |  7.8  |              |
| LAUCN131210000000003 | 2013 |  M03   |  8.1  |              |
| LAUCN131210000000003 | 2013 |  M02   |  8.5  |              |
| LAUCN131210000000003 | 2013 |  M01   |  8.9  |              |
| LAUCN131210000000003 | 2012 |  M12   |  8.5  |              |
| LAUCN131210000000003 | 2012 |  M11   |  8.2  |              |
| LAUCN131210000000003 | 2012 |  M10   |  8.6  |              |
| LAUCN131210000000003 | 2012 |  M09   |  8.5  |              |
| LAUCN131210000000003 | 2012 |  M08   |  9.2  |              |
| LAUCN131210000000003 | 2012 |  M07   |  9.5  |              |
| LAUCN131210000000003 | 2012 |  M06   |  9.5  |              |
| LAUCN131210000000003 | 2012 |  M05   |  8.9  |              |
| LAUCN131210000000003 | 2012 |  M04   |  8.7  |              |
| LAUCN131210000000003 | 2012 |  M03   |  9.1  |              |
| LAUCN131210000000003 | 2012 |  M02   |  9.4  |              |
| LAUCN131210000000003 | 2012 |  M01   |  9.5  |              |
| LAUCN131210000000003 | 2011 |  M12   |  9.3  |              |
| LAUCN131210000000003 | 2011 |  M11   |  9.3  |              |
| LAUCN131210000000003 | 2011 |  M10   |  9.9  |              |
| LAUCN131210000000003 | 2011 |  M09   |  10.1 |              |
| LAUCN131210000000003 | 2011 |  M08   |  10.5 |              |
| LAUCN131210000000003 | 2011 |  M07   |  10.6 |              |
| LAUCN131210000000003 | 2011 |  M06   |  10.7 |              |
| LAUCN131210000000003 | 2011 |  M05   |  10.0 |              |
| LAUCN131210000000003 | 2011 |  M04   |  9.8  |              |
| LAUCN131210000000003 | 2011 |  M03   |  10.0 |              |
| LAUCN131210000000003 | 2011 |  M02   |  10.3 |              |
| LAUCN131210000000003 | 2011 |  M01   |  10.6 |              |
+----------------------+------+--------+-------+--------------+
