Category,DateTime,m2_val,m2_chg,m2_pct
Money Supply M2,1/31/2017,13275.4,76.5,0.494900342
Money Supply M2,2/28/2017,13341.1,65.7,0.494900342
Money Supply M2,3/31/2017,13411.4,70.3,0.526943056
Money Supply M2,4/30/2017,13476.8,65.4,0.487644839
Money Supply M2,5/31/2017,13530.5,53.7,0.398462543
Money Supply M2,6/30/2017,13558.2,27.7,0.204722664
Money Supply M2,7/31/2017,13618.3,60.1,0.443274181
Money Supply M2,8/31/2017,13673.8,55.5,0.407539854
Money Supply M2,9/30/2017,13716.4,42.6,0.311544706
Money Supply M2,10/31/2017,13769,52.6,0.383482546
Money Supply M2,11/30/2017,13794,25,0.181567289
Money Supply M2,12/31/2017,13835.7,41.7,0.30230535
Money Supply M2,1/31/2018,13858.4,22.7,0.164068316
Money Supply M2,2/28/2018,13892.8,34.4,0.248224903
Money Supply M2,3/31/2018,13952.6,59.8,0.430438788
Money Supply M2,4/30/2018,13989.1,36.5,0.261599989
Money Supply M2,5/31/2018,14054.9,65.8,0.470366214
Money Supply M2,6/30/2018,14120,65.1,0.463183658
Money Supply M2,7/31/2018,14153,33,0.233711048
Money Supply M2,8/31/2018,14197,44,0.310888151
Money Supply M2,9/30/2018,14228.5,31.5,0.221877862
Money Supply M2,10/31/2018,14235.4,6.9,0.048494219
Money Supply M2,11/30/2018,14245.4,10,0.070247411
Money Supply M2,12/31/2018,14351.8,106.4,0.746907774
Money Supply M2,1/31/2019,14434.6,82.8,0.576931117
Money Supply M2,2/28/2019,14464.4,29.8,0.206448395
Money Supply M2,3/31/2019,14511.8,47.4,0.327701114
Money Supply M2,4/30/2019,14558.3,46.5,0.320428892
Money Supply M2,5/31/2019,14653.2,94.9,0.651861825
Money Supply M2,6/30/2019,14780.7,127.5,0.870117108
Money Supply M2,7/31/2019,14859.9,79.2,0.535833891
Money Supply M2,8/31/2019,14931.2,71.3,0.479814804
Money Supply M2,9/30/2019,15020.8,89.6,0.600085727
Money Supply M2,10/31/2019,15153.1,132.3,0.880778654
Money Supply M2,11/30/2019,15251.3,98.2,0.648052214
Money Supply M2,12/31/2019,15325.8,74.5,0.488482949
Money Supply M2,1/31/2020,15406.8,81,0.528520534
Money Supply M2,2/29/2020,15470.4,63.6,0.412804736
Money Supply M2,3/31/2020,16011.4,541,3.497000724
Money Supply M2,4/30/2020,17039.1,1027.7,6.418551782
Money Supply M2,5/31/2020,17889.2,850.1,4.989113275
Money Supply M2,6/30/2020,18175.7,286.5,1.601524942
Money Supply M2,7/31/2020,18316.6,140.9,0.775210858
Money Supply M2,8/31/2020,18378.5,61.9,0.337944815
Money Supply M2,9/30/2020,18601.6,223.1,1.213918437
Money Supply M2,10/31/2020,18747.9,146.3,0.786491485
Money Supply M2,11/30/2020,18958.7,210.8,1.124392599
Money Supply M2,12/31/2020,19129.5,170.8,0.900905653
Money Supply M2,1/31/2021,19393.1,263.6,1.377976424
Money Supply M2,2/28/2021,19665.4,272.3,1.404107647
Money Supply M2,3/31/2021,19913.5,248.1,1.26160668
Money Supply M2,4/30/2021,20122.7,209.2,1.050543601
Money Supply M2,5/31/2021,20372.4,249.7,1.240887157
Money Supply M2,6/30/2021,20387.4,15,0.073629028
Money Supply M2,7/31/2021,20534.3,146.9,0.720543081
Money Supply M2,8/31/2021,20797,262.7,1.279322889
Money Supply M2,9/30/2021,20982.9,185.9,0.893878925
Money Supply M2,10/31/2021,21187.1,204.2,0.973173394
Money Supply M2,11/30/2021,21436.7,249.6,1.178075338
