Symbol,Date,Open,Close,Open Difference,Close Difference
CCMP:IND,2021-12-31,15722.9053,15644.9707,,
CCMP:IND,2021-12-30,15758.9834,15741.5645,36.07809999999881,96.59380000000056
CCMP:IND,2021-12-29,15794.9219,15766.2158,35.938500000000204,24.651299999999537
CCMP:IND,2021-12-28,15895.1982,15781.7227,100.27630000000136,15.506900000000314
CCMP:IND,2021-12-27,15696.8291,15871.2617,-198.3690999999999,89.53899999999885
CCMP:IND,2021-12-23,15544.7881,15653.374,-152.04100000000108,-217.8876999999993
CCMP:IND,2021-12-22,15319.1611,15521.8916,-225.6270000000004,-131.48239999999896
CCMP:IND,2021-12-21,15140.4326,15341.0869,-178.72849999999926,-180.8047000000006
CCMP:IND,2021-12-20,14932.999,14980.9443,-207.4336000000003,-360.14260000000104
CCMP:IND,2021-12-17,15036.7715,15169.6816,103.77250000000095,188.7373000000007
CCMP:IND,2021-12-16,15629.0771,15180.4346,592.3055999999997,10.753000000000611
CCMP:IND,2021-12-15,15230.7061,15565.583,-398.371000000001,385.14840000000004
CCMP:IND,2021-12-14,15215.958,15237.64,-14.748099999998885,-327.9430000000011
CCMP:IND,2021-12-13,15621.2676,15413.2822,405.3095999999987,175.64220000000023
CCMP:IND,2021-10-12,15629.59,15630.6006,8.322400000000926,217.3184000000001
CCMP:IND,2021-09-12,15720.5391,15517.37,90.94909999999982,-113.23059999999896
CCMP:IND,2021-08-12,15690.65,15786.9883,-29.889100000000326,269.6183000000001
CCMP:IND,2021-07-12,15510.9131,15686.916,-179.73689999999988,-100.07230000000163
CCMP:IND,2021-06-12,15117.6289,15225.1523,-393.28420000000006,-461.7636999999995
CCMP:IND,2021-03-12,15428.7061,15085.4717,311.0771999999997,-139.68059999999969
CCMP:IND,2021-02-12,15181.8232,15381.32,-246.8828999999987,295.84829999999965
CCMP:IND,2021-01-12,15752.2686,15254.0518,570.4453999999987,-127.26820000000043
CCMP:IND,2021-11-30,15716.498,15537.6914,-35.77059999999983,283.6396000000004
CCMP:IND,2021-11-29,15719.4229,15782.834,2.9248999999999796,245.14260000000104
CCMP:IND,2021-11-26,15664.3789,15491.6572,-55.04399999999987,-291.1768000000011
CCMP:IND,2021-11-24,15677.8818,15845.2256,13.5028999999995,353.5684000000001
CCMP:IND,2021-11-23,15809.502,15775.1377,131.6202000000012,-70.08790000000045
CCMP:IND,2021-11-22,16120.9229,15854.7568,311.42089999999916,79.61909999999989
CCMP:IND,2021-11-19,16042.1631,16057.4365,-78.75979999999981,202.6797000000006
CCMP:IND,2021-11-18,15973.3945,15993.71,-68.76859999999942,-63.72650000000067
CCMP:IND,2021-11-17,15973.6152,15921.5713,0.22069999999985157,-72.13869999999952
CCMP:IND,2021-11-16,15840.3213,15973.8555,-133.29390000000058,52.284200000000055
CCMP:IND,2021-11-15,15894.8193,15853.8457,54.49799999999959,-120.00979999999981
CCMP:IND,2021-12-11,15752.6191,15860.958,-142.2001999999993,7.112300000000687
CCMP:IND,2021-11-11,15752.083,15704.2813,-0.536099999999351,-156.67669999999998
CCMP:IND,2021-10-11,15753.84,15622.7051,1.756999999999607,-81.57620000000134
