Symbol,Date,Open,High,Low,Close
CCMP:IND,7/1/2022,15095.7178,15096.5225,15069.0361,15083.3535
CCMP:IND,6/1/2022,15024.1523,15198.4473,14914.8711,15080.8652
CCMP:IND,5/1/2022,15547.1621,15586.2988,15095.1836,15100.1738
CCMP:IND,4/1/2022,15852.1357,15852.1357,15512.4121,15622.7178
CCMP:IND,3/1/2022,15732.4971,15832.7988,15644.0859,15832.7988
CCMP:IND,31/12/2021,15722.9053,15777.43,15643.9346,15644.9707
CCMP:IND,30/12/2021,15758.9834,15868.0859,15729.1641,15741.5645
CCMP:IND,29/12/2021,15794.9219,15821.8135,15679.8525,15766.2158
CCMP:IND,28/12/2021,15895.1982,15901.47,15757.0684,15781.7227
CCMP:IND,27/12/2021,15696.8291,15871.3965,15696.8291,15871.2617
CCMP:IND,23/12/2021,15544.7881,15697.9756,15528.9131,15653.374
CCMP:IND,22/12/2021,15319.1611,15525.9736,15303.0635,15521.8916
CCMP:IND,21/12/2021,15140.4326,15349.0645,15015.0254,15341.0869
CCMP:IND,20/12/2021,14932.999,15007.2969,14860.0391,14980.9443
CCMP:IND,17/12/2021,15036.7715,15288.7764,14960.3662,15169.6816
CCMP:IND,16/12/2021,15629.0771,15633.1885,15119.4912,15180.4346
CCMP:IND,15/12/2021,15230.7061,15575.7568,15055.2246,15565.583
CCMP:IND,14/12/2021,15215.958,15317.5508,15097.3506,15237.64
CCMP:IND,13/12/2021,15621.2676,15637.06,15408.249,15413.2822
CCMP:IND,10/12/2021,15629.59,15677.6006,15477.8516,15630.6006
CCMP:IND,9/12/2021,15720.5391,15796.0527,15511.1182,15517.37
CCMP:IND,8/12/2021,15690.65,15792.6387,15618.877,15786.9883
CCMP:IND,7/12/2021,15510.9131,15720.0879,15507.66,15686.916
CCMP:IND,6/12/2021,15117.6289,15281.99,14931.6113,15225.1523
CCMP:IND,3/12/2021,15428.7061,15470.3564,14931.0547,15085.4717
CCMP:IND,2/12/2021,15181.8232,15444.5371,15150.12,15381.32
CCMP:IND,1/12/2021,15752.2686,15816.8232,15243.9277,15254.0518
CCMP:IND,30/11/2021,15716.498,15828.1963,15451.3848,15537.6914
CCMP:IND,29/11/2021,15719.4229,15833.1143,15644.6152,15782.834
CCMP:IND,26/11/2021,15664.3789,15731.5391,15456.0889,15491.6572
CCMP:IND,24/11/2021,15677.8818,15848.5605,15591.3613,15845.2256
CCMP:IND,23/11/2021,15809.502,15895.8613,15601.459,15775.1377
CCMP:IND,22/11/2021,16120.9229,16212.2285,15851.0361,15854.7568
CCMP:IND,19/11/2021,16042.1631,16121.1172,16017.23,16057.4365
CCMP:IND,18/11/2021,15973.3945,16010.8828,15848.832,15993.71
CCMP:IND,17/11/2021,15973.6152,15998.5684,15909.3857,15921.5713
CCMP:IND,16/11/2021,15840.3213,15989.6123,15825.0039,15973.8555
CCMP:IND,15/11/2021,15894.8193,15918.4512,15778.3076,15853.8457
CCMP:IND,12/11/2021,15752.6191,15874.5752,15705.376,15860.958
CCMP:IND,11/11/2021,15752.083,15768.0264,15695.7666,15704.2813
CCMP:IND,10/11/2021,15753.84,15867.24,15543.68,15622.7051
CCMP:IND,9/11/2021,16024.1279,16035.2119,15836.68,15886.543
CCMP:IND,8/11/2021,15995.7178,16038.2314,15961.8047,15982.3574
CCMP:IND,5/11/2021,16003.5635,16053.3857,15900.78,15971.5879
CCMP:IND,4/11/2021,15849.7422,15966.0859,15827.6641,15940.3076
CCMP:IND,3/11/2021,15658.5166,15821.5752,15616.4385,15811.584
CCMP:IND,2/11/2021,15583.9854,15656.6035,15569.2676,15649.6025
CCMP:IND,1/11/2021,15541.2617,15598.9473,15470.8174,15595.915
CCMP:IND,29/10/2021,15323.29,15504.1221,15323.29,15498.3877
CCMP:IND,28/10/2021,15304.7363,15452.3027,15290.3057,15448.1182
CCMP:IND,27/10/2021,15276.0039,15364.5361,15235.8379,15235.8379
CCMP:IND,26/10/2021,15317.501,15384,15198.23,15235.7148
CCMP:IND,25/10/2021,15142.9189,15259.6318,15070.75,15226.7061
CCMP:IND,22/10/2021,15158.0654,15193.0137,15021.0225,15090.2
CCMP:IND,21/10/2021,15104.8,15222.2549,15094.1406,15215.7
CCMP:IND,20/10/2021,15160.0039,15178.3906,15071.15,15121.6777
CCMP:IND,19/10/2021,15073.1328,15137.8535,15049.7314,15129.09
CCMP:IND,18/10/2021,14839.7422,15026.6807,14833.2813,15021.8086
CCMP:IND,15/10/2021,14891.24,14904.9766,14847.9648,14897.34
CCMP:IND,14/10/2021,14717.5029,14827.5547,14699.5254,14823.4287
CCMP:IND,13/10/2021,14537.1689,14589.28,14471.875,14571.6348
CCMP:IND,12/10/2021,14539.0859,14552.7061,14441.6,14465.9248
CCMP:IND,11/10/2021,14540.0771,14665.9873,14482.6152,14486.2
CCMP:IND,8/10/2021,14694.7168,14699.9111,14569.6826,14579.5371
CCMP:IND,7/10/2021,14631.8,14755.7178,14615.1387,14654.0156
CCMP:IND,6/10/2021,14289.4492,14509.5488,14259.0684,14501.9111
CCMP:IND,5/10/2021,14312.8623,14508.6484,14299.7822,14433.83
CCMP:IND,4/10/2021,14493.124,14499.7363,14181.6914,14255.4854
CCMP:IND,1/10/2021,14494.9307,14606.8193,14324.0107,14566.6973
CCMP:IND,30/09/2021,14582.6016,14632.3574,14444.2988,14448.5811
CCMP:IND,29/09/2021,14614.8838,14676.6172,14493.665,14512.4414
CCMP:IND,28/09/2021,14787.2061,14817.7373,14539.8828,14546.6826
CCMP:IND,27/09/2021,14954.1748,15003.1592,14864.9619,14969.97
CCMP:IND,24/09/2021,14961.6152,15067.5586,14946.5664,15047.6992
CCMP:IND,23/09/2021,14960.0029,15085.4365,14932.5137,15052.2441
CCMP:IND,22/09/2021,14800.5889,14950.12,14767.0146,14896.85
CCMP:IND,21/09/2021,14803.36,14847.0273,14696.4668,14746.4
CCMP:IND,20/09/2021,14758.1357,14841.8154,14530.0732,14713.9
CCMP:IND,17/09/2021,15163.3555,15166.5605,14998.7266,15043.9678
CCMP:IND,16/09/2021,15120.0928,15205.501,15047.1406,15181.9238
CCMP:IND,15/09/2021,15071.34,15174.38,14984.6777,15161.5293
CCMP:IND,14/09/2021,15168.4482,15181.1885,15008.3018,15037.7588
CCMP:IND,13/09/2021,15211.4268,15215.4434,15030.8506,15105.582
CCMP:IND,10/9/2021,15332.918,15349.47,15111.3105,15115.4941
CCMP:IND,9/9/2021,15296.0635,15352.377,15245.1748,15248.2539
CCMP:IND,8/9/2021,15360.3457,15360.3457,15206.61,15286.6367
CCMP:IND,7/9/2021,15375.9824,15403.4365,15343.2764,15374.3271
CCMP:IND,3/9/2021,15313.415,15375.5645,15283.668,15363.5156
CCMP:IND,2/9/2021,15358.4736,15380.0693,15285.3477,15331.1768
CCMP:IND,1/9/2021,15308.9746,15379.5039,15302.1113,15309.3809
CCMP:IND,31/08/2021,15262.877,15278.9561,15202.6689,15259.2354
CCMP:IND,30/08/2021,15165.9443,15288.083,15165.12,15265.89
CCMP:IND,27/08/2021,14969.7646,15144.4844,14966.5234,15129.501
CCMP:IND,26/08/2021,15025.166,15059.6338,14939.5605,14945.8066
CCMP:IND,25/08/2021,15039.0273,15059.4268,15011.5811,15041.8594
CCMP:IND,24/08/2021,14978.1416,15034.8867,14965.5361,15019.8
CCMP:IND,23/08/2021,14776.98,14963.4648,14776.98,14942.6523
CCMP:IND,20/08/2021,14571.5322,14722.1641,14571.5322,14714.6631
CCMP:IND,19/08/2021,14423.1621,14610.7607,14423.1621,14541.7881
CCMP:IND,18/08/2021,14636.2441,14697.252,14516.3018,14525.9141
CCMP:IND,17/08/2021,14670.5635,14716.9473,14550.8818,14656.1807
CCMP:IND,16/08/2021,14771.53,14794.6807,14610.0244,14793.7617
CCMP:IND,13/08/2021,14825.0684,14850.6113,14797.2178,14822.8984
CCMP:IND,12/8/2021,14751.3564,14824.3057,14698.9434,14816.2617
CCMP:IND,11/8/2021,14834.3838,14842.498,14692.4141,14765.1348
CCMP:IND,10/8/2021,14887.7451,14894.6113,14754.4844,14788.0869
CCMP:IND,9/8/2021,14855.7549,14883.8076,14802.6914,14860.1768
CCMP:IND,6/8/2021,14864.2158,14890.1816,14788.5879,14835.7617
CCMP:IND,5/8/2021,14794.084,14896.4746,14776.0322,14895.1172
CCMP:IND,4/8/2021,14747.2109,14812.374,14734.12,14780.5332
CCMP:IND,3/8/2021,14713.9951,14762.5986,14584.0869,14761.2949
CCMP:IND,2/8/2021,14758.6035,14770.4063,14665.6709,14681.0693
CCMP:IND,30/07/2021,14615.8506,14728.7852,14615.8506,14672.6777
CCMP:IND,29/07/2021,14771.168,14833.7393,14761.3779,14778.2637
CCMP:IND,28/07/2021,14715.6641,14798.88,14645.6338,14762.584
CCMP:IND,27/07/2021,14807.9473,14811.0781,14503.7559,14660.5762
CCMP:IND,26/07/2021,14821.03,14863.6465,14790.4883,14840.7129
CCMP:IND,23/07/2021,14753.0576,14846.0566,14698.77,14836.9912
CCMP:IND,22/07/2021,14652.7236,14694.1914,14617.8711,14684.5967
CCMP:IND,21/07/2021,14508.7471,14633.1445,14498.6543,14631.9541
CCMP:IND,20/07/2021,14330.4619,14555.748,14271.2256,14498.8779
CCMP:IND,19/07/2021,14235.9834,14313.5957,14178.6572,14274.9844
CCMP:IND,16/07/2021,14597.5078,14623.0244,14413.3184,14427.2373
CCMP:IND,15/07/2021,14635.7813,14650.375,14451.8027,14543.1328
CCMP:IND,14/07/2021,14780.9,14790.5479,14632.9482,14644.9521
CCMP:IND,13/07/2021,14715.1328,14803.6758,14660.19,14677.6543
CCMP:IND,12/7/2021,14743.86,14761.0811,14672.6309,14733.24
CCMP:IND,9/7/2021,14578.4277,14710.1982,14552.2607,14701.9189
CCMP:IND,8/7/2021,14409.1992,14610.0635,14371.5928,14559.7852
CCMP:IND,7/7/2021,14753.415,14755.3311,14580.7939,14665.0635
CCMP:IND,6/7/2021,14661.5479,14686.999,14529.8008,14663.64
CCMP:IND,2/7/2021,14582.9834,14649.1094,14555.335,14639.3252
CCMP:IND,1/7/2021,14493.69,14533.5449,14439.3965,14522.376
CCMP:IND,30/06/2021,14509.8525,14526.8066,14478.0566,14503.9531
CCMP:IND,29/06/2021,14509.1895,14535.9688,14471.3809,14528.335
CCMP:IND,28/06/2021,14417.8105,14505.1914,14417.2031,14500.5078
CCMP:IND,25/06/2021,14400.8066,14409.0811,14337.6523,14360.3877
CCMP:IND,24/06/2021,14357.2646,14414.458,14333.6982,14369.709
CCMP:IND,23/06/2021,14263.3809,14317.6621,14246.2988,14271.7334
CCMP:IND,22/06/2021,14138.29,14269.7656,14121.002,14253.2676
CCMP:IND,21/06/2021,14047.4219,14150.7773,13960.041,14141.48
CCMP:IND,18/06/2021,14096.9287,14129.2158,14009.0352,14030.376
CCMP:IND,17/06/2021,13999.126,14196.21,13998.93,14161.35
CCMP:IND,16/06/2021,14085.5508,14129.6865,13903.7324,14039.6836
CCMP:IND,15/06/2021,14166.6367,14171.02,14052.1572,14072.8564
CCMP:IND,14/06/2021,14083.4668,14175.4521,14056.67,14174.1426
CCMP:IND,11/6/2021,14030.8506,14069.4229,14006.5918,14069.4229
CCMP:IND,10/6/2021,13933.88,14031.1924,13904.3994,14020.333
CCMP:IND,9/6/2021,13980.2314,14003.501,13906.4512,13911.75
CCMP:IND,8/6/2021,13946.3232,13981.7168,13831.9824,13924.9111
CCMP:IND,7/6/2021,13802.82,13889.1123,13784.8906,13881.7207
CCMP:IND,4/6/2021,13697.249,13826.8232,13692.0088,13814.4893
CCMP:IND,3/6/2021,13655.7461,13684.1328,13548.9287,13614.5068
CCMP:IND,2/6/2021,13743.2422,13775.8926,13689.7363,13756.3271
CCMP:IND,1/6/2021,13829.0547,13836.1729,13678.7646,13736.4775
CCMP:IND,28/05/2021,13792.0479,13820.873,13747.61,13748.7393
CCMP:IND,27/05/2021,13742.585,13776.5166,13701.625,13736.2764
CCMP:IND,26/05/2021,13693.9365,13750.1582,13679.5889,13737.9961
CCMP:IND,25/05/2021,13721.543,13751.1367,13631.8018,13657.1738
CCMP:IND,24/05/2021,13557.2119,13708.8457,13551.0078,13661.17
CCMP:IND,21/05/2021,13616.1855,13616.5771,13463.2646,13470.9932
CCMP:IND,20/05/2021,13356.6289,13563.5176,13355.7129,13535.7393
CCMP:IND,19/05/2021,13078.1855,13304.6064,13072.2344,13299.7373
CCMP:IND,18/05/2021,13416.8965,13485.3447,13299.9248,13303.6357
CCMP:IND,17/05/2021,13368.8018,13399.1719,13265.3975,13379.0479
CCMP:IND,14/05/2021,13255.6445,13460.8838,13242.9658,13429.9775
CCMP:IND,13/05/2021,13150.9365,13247.873,13007.24,13124.9883
CCMP:IND,12/5/2021,13215.4932,13288.6094,13002.5352,13031.6807
CCMP:IND,11/5/2021,13115.8535,13423.3066,13107.6729,13389.4258
CCMP:IND,10/5/2021,13687.5947,13687.93,13401.7451,13401.8584
